lat;lon;validdate;t_2m:C;relative_humidity_2m:p;wind_speed_10m:kmh;air_density_10m:kgm3;precip_24h:mm;co:ugm3
37.008677;-91.154853;2020-03-17T12:00:00Z;5.7;98.6;8.7;1.236;14.74;151.418
37.008677;-91.154853;2020-03-18T12:00:00Z;7.6;99.9;10.3;1.218;3.68;172.258
37.008677;-91.154853;2020-03-19T12:00:00Z;16.0;99.9;13.1;1.176;6.27;103.315
37.008677;-91.154853;2020-03-20T12:00:00Z;14.9;83.8;13.6;1.184;20.85;113.612
37.008677;-91.154853;2020-03-21T12:00:00Z;2.4;66.9;10.1;1.262;0.00;132.832
37.008677;-91.154853;2020-03-22T12:00:00Z;1.6;81.6;7.8;1.259;0.32;160.752
37.008677;-91.154853;2020-03-23T12:00:00Z;5.0;98.0;7.1;1.234;10.54;172.939
37.008677;-91.154853;2020-03-24T12:00:00Z;6.0;87.8;12.9;1.223;0.10;188.844
37.008677;-91.154853;2020-03-25T12:00:00Z;6.8;97.6;5.3;1.220;14.70;192.192
37.008677;-91.154853;2020-03-26T12:00:00Z;8.9;98.3;11.6;1.201;0.00;184.722
37.008677;-91.154853;2020-03-27T12:00:00Z;16.5;89.8;9.2;1.163;0.00;141.662
37.008677;-91.154853;2020-03-28T12:00:00Z;20.2;81.0;16.0;1.149;0.48;139.594
37.008677;-91.154853;2020-03-29T12:00:00Z;8.9;58.2;18.4;1.211;13.34;124.192
37.008677;-91.154853;2020-03-30T12:00:00Z;6.8;77.6;8.4;1.227;0.00;147.568
37.008677;-91.154853;2020-03-31T12:00:00Z;8.6;99.7;3.6;1.212;17.07;121.043
37.008677;-91.154853;2020-04-01T12:00:00Z;3.2;93.8;7.5;1.238;1.75;156.162
37.008677;-91.154853;2020-04-02T12:00:00Z;7.4;78.6;8.6;1.221;0.02;166.775
37.008677;-91.154853;2020-04-03T12:00:00Z;11.0;97.7;7.4;1.202;5.66;160.568
37.008677;-91.154853;2020-04-04T12:00:00Z;5.8;94.5;13.4;1.230;4.12;141.110
37.008677;-91.154853;2020-04-05T12:00:00Z;7.0;93.1;3.3;1.224;4.44;156.512
37.008677;-91.154853;2020-04-06T12:00:00Z;8.6;97.7;7.0;1.213;0.14;191.847
37.008677;-91.154853;2020-04-07T12:00:00Z;14.8;97.7;9.5;1.179;0.97;164.347
37.008677;-91.154853;2020-04-08T12:00:00Z;15.9;97.5;8.8;1.168;0.61;140.892
